epoch,learning_rate,train_total_loss,val_total_loss,val_vrmse,train_rmse,train_h1,train_h2,train_ssim,train_pcc,train_mlw,train_vrms,train_kl,train_anchor,val_vrmse_density,val_vrmse_momentum_x,val_vrmse_momentum_y,val_vrmse_pressure,val_rmse,val_h1,val_h2,val_ssim,val_pcc,val_mlw,val_vrms,val_kl,val_anchor
1,3.02e-05,0.08695337242957314,0.11162936740451389,0.381139820240162,0.04882732999928015,0.00017634015637356154,0.0002721191815310791,0.19539355558331542,0.05087906811152542,0.0,0.2956476206871755,809366.7296025105,0.41038594946701656,0.6131674985532407,0.47097565827546295,0.3878882740162037,0.7170191333912037,0.04797631157769097,0.00018103483650419447,0.00026684460816559966,0.3640087890625,0.05151600590458623,0.0,0.381139820240162,793941.997037037,0.5950086805555556
2,5e-05,0.06877385436802728,0.04381361219618055,0.13624483461733217,0.03225396520547787,0.0001848117214904355,0.00027214177610414985,0.18186201473160268,0.018704716474690696,0.0,0.22273681099257708,806278.8934361924,0.44749953703775563,0.16794123896846064,0.16262483950014467,0.1877327247902199,0.2777313006365741,0.01982421592429832,0.00018914951218499076,0.0003239463876794886,0.09687947591145833,0.008006680806477864,0.0,0.13624483461733217,803166.8148148148,0.6814030852141204
3,5e-05,0.04244620089173691,0.038554676197193286,0.1252527759693287,0.02063977039539914,0.00015992516787701944,0.00026079543144740485,0.092067811404312,0.007965528254229654,0.0,0.132792019125495,801200.714958159,0.5763240875247632,0.1509895607277199,0.1377219193070023,0.11827408402054398,0.3309934714988426,0.017696800231933593,0.00015121356204704002,0.00023238601507963958,0.08864797521520544,0.00766320405183015,0.0,0.1252527759693287,797646.0325925926,0.815068359375
4,5e-05,0.036389343658750524,0.03188945063838252,0.10411645959924769,0.017946115893674196,0.0001365677598031154,0.00021491984505122688,0.07743226172534991,0.006209489036055289,0.0,0.11631008588307572,802445.835251046,0.5953619347331913,0.1558230025679977,0.10556247287326388,0.1326848461009838,0.20122739438657408,0.014960830123336226,0.00013974903910248367,0.0002186519569820828,0.06627445927372685,0.0050097988269947194,0.0,0.10411645959924769,799721.0548148148,0.7225599500868055
5,5e-05,0.03354321434221008,0.029440561930338543,0.09385728624131945,0.016889351623709543,0.0001343862293473055,0.0002127386790611484,0.06623033898644866,0.00496708093577349,0.0,0.10278012648723614,799106.619377615,0.5676682983295189,0.10016628689236111,0.12214060465494792,0.11368595829716435,0.2034044505931713,0.013374814633969907,0.00013094566486499928,0.0002081494861178928,0.06345644350405093,0.004578930890118634,0.0,0.09385728624131945,793602.7496296297,0.7528436957465278
6,5e-05,0.030496513572322772,0.028694593641493054,0.09259480794270833,0.015528692697295647,0.00012918519974222187,0.0002075672258127814,0.05672373781643153,0.0043655538222281,0.0,0.09437480171417592,797718.3956589958,0.6425846293880351,0.10715540002893519,0.11492334436487268,0.14558638961226852,0.1719125027126736,0.013560635602032696,0.00012787623537911309,0.00020663020787415682,0.058267641420717595,0.00431072093822338,0.0,0.09259480794270833,798628.4088888889,0.7333320674189815
7,5e-05,0.031076112407489552,0.029018588595920138,0.0949280689380787,0.015193148691472149,0.00012574523106895753,0.00020708217800659528,0.06397134514533326,0.004377122298194773,0.0,0.09765864586044555,796721.4758106695,0.6412673655850618,0.1308228217230903,0.10493256745515046,0.10452525951244213,0.20821347837094908,0.01364524558738426,0.0001311569854065224,0.00021751531848201045,0.05876995510525174,0.004522892634073893,0.0,0.0949280689380787,799245.0844444444,0.7722766565393518
8,5e-05,0.028032998784316632,0.027007505628797744,0.09278528284143518,0.013918873218811705,0.00012685746047076516,0.00021235838447632678,0.05180834851005586,0.003714533966954283,0.0,0.08633896897870377,795364.9768566946,0.6580795851462057,0.10262774432146991,0.09282266122323496,0.10411624484592014,0.24003155743634258,0.013484406647858797,0.00012486241481922291,0.00020581408783241554,0.04853318956163195,0.003760731308548539,0.0,0.09278528284143518,792527.6444444444,0.8449365234375
9,5e-05,0.028708279037372712,0.023918691564489294,0.07783518473307292,0.01429379176714742,0.00012549570932621223,0.0002165229734182275,0.05426467699485843,0.0038313935491330452,0.0,0.08894681291475455,795476.3223064854,0.7506176154733203,0.09398425066912616,0.0908102869104456,0.09808423077618635,0.16130114520037617,0.011480698055691189,0.00012307679211651839,0.00020741542180379233,0.04189435323079427,0.0031307464175754124,0.0,0.07783518473307292,794651.117037037,0.8693493200231481
10,5e-05,0.027378833307163734,0.02772154066297743,0.09145496509693286,0.013593230886525127,0.00012299078932556163,0.0002128834843552266,0.05090708413383452,0.0034517013939354708,0.0,0.08360817566295797,793845.9811715481,0.7053910486057213,0.09955543800636574,0.15204522026909723,0.09871594464337384,0.15988563820167825,0.013051859537760417,0.00011879682540893554,0.00019506277861418547,0.05819893165870949,0.0038561425385651763,0.0,0.09145496509693286,798352.1185185185,0.951598216869213
